OS Benchmark experiment
Test Name:,4.10.13-patch,
       ref          kbest:,0.000000025,
       ref        average:,0.000000034,
       cpu          kbest:,0.003149368,
       cpu        average:,0.003152397,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000081,
context siwtch          kbest:,0.000002193,
context siwtch        average:,0.000002831,
      send          kbest:,0.000000131,
      send        average:,0.000000228,
      recv          kbest:,0.000000122,
      recv        average:,0.000000186,
  big send          kbest:,0.000000307,
  big send        average:,0.000000592,
  big recv          kbest:,0.000000283,
  big recv        average:,0.000000477,
      fork          kbest:,0.000073095,
      fork       average:,0.000173884,
      fork    Child kbest:,0.000092948,
      fork Child average:,0.000224892,
thr create          kbest:,0.000005202,
thr create       average:,0.000012623,
thr create    Child kbest:,0.000006785,
thr create Child average:,0.000021955,
  big fork          kbest:,0.001173379,
  big fork       average:,0.002154563,
  big fork    Child kbest:,0.001202933,
  big fork Child average:,0.002242695,
 huge fork          kbest:,0.002674288,
 huge fork       average:,0.005316045,
 huge fork    Child kbest:,0.002765265,
 huge fork Child average:,0.005414413,
small write          kbest:,0.000000631,
small write        average:,0.000000740,
small read          kbest:,0.000000321,
small read        average:,0.000000483,
small mmap          kbest:,0.000000379,
small mmap        average:,0.000000390,
small munmap          kbest:,0.000000633,
small munmap        average:,0.000000743,
small page fault          kbest:,0.000000632,
small page fault        average:,0.000000670,
 mid write          kbest:,0.000005294,
 mid write        average:,0.000005492,
  mid read          kbest:,0.000002226,
  mid read        average:,0.000002835,
  mid mmap          kbest:,0.000000291,
  mid mmap        average:,0.000000315,
mid munmap          kbest:,0.000002615,
mid munmap        average:,0.000002686,
mid page fault          kbest:,0.000000501,
mid page fault        average:,0.000000509,
 big write          kbest:,0.000601147,
 big write        average:,0.000617595,
  big read          kbest:,0.000321629,
  big read        average:,0.000323039,
  big mmap          kbest:,0.000000292,
  big mmap        average:,0.000000312,
big munmap          kbest:,0.000108462,
big munmap        average:,0.000109529,
big page fault          kbest:,0.000000610,
big page fault        average:,0.000000654,
huge write          kbest:,0.013730778,
huge write        average:,0.013955489,
 huge read          kbest:,0.013432133,
 huge read        average:,0.013647864,
 huge mmap          kbest:,0.000000288,
 huge mmap        average:,0.000000306,
huge munmap          kbest:,0.001157918,
huge munmap        average:,0.001306395,
huge page fault          kbest:,0.000000615,
huge page fault        average:,0.000000631,
    select          kbest:,0.000000512,
    select        average:,0.000000599,
      poll          kbest:,0.000000366,
      poll        average:,0.000000416,
     epoll          kbest:,0.000000365,
     epoll        average:,0.000000474,
select big          kbest:,0.000062626,
select big        average:,0.000069020,
  poll big          kbest:,0.000062670,
  poll big        average:,0.000066842,
 epoll big          kbest:,0.000058893,
 epoll big        average:,0.000069598,
