OS Benchmark experiment
Test Name:,4.10.13-slab-freelist-randomization,
       ref          kbest:,0.000000025,
       ref        average:,0.000000034,
       cpu          kbest:,0.003149368,
       cpu        average:,0.003150906,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000079,
context siwtch          kbest:,0.000002875,
context siwtch        average:,0.000002969,
      send          kbest:,0.000000109,
      send        average:,0.000000245,
      recv          kbest:,0.000000122,
      recv        average:,0.000000186,
  big send          kbest:,0.000000343,
  big send        average:,0.000000609,
  big recv          kbest:,0.000000290,
  big recv        average:,0.000000464,
      fork          kbest:,0.000067033,
      fork       average:,0.000174867,
      fork    Child kbest:,0.000087043,
      fork Child average:,0.000235025,
thr create          kbest:,0.000006017,
thr create       average:,0.000012936,
thr create    Child kbest:,0.000008480,
thr create Child average:,0.000022927,
  big fork          kbest:,0.001042942,
  big fork       average:,0.001992043,
  big fork    Child kbest:,0.001067614,
  big fork Child average:,0.002086746,
 huge fork          kbest:,0.001764843,
 huge fork       average:,0.004030659,
 huge fork    Child kbest:,0.001800632,
 huge fork Child average:,0.004134912,
small write          kbest:,0.000000613,
small write        average:,0.000000737,
small read          kbest:,0.000000326,
small read        average:,0.000000508,
small mmap          kbest:,0.000000382,
small mmap        average:,0.000000519,
small munmap          kbest:,0.000000598,
small munmap        average:,0.000000678,
small page fault          kbest:,0.000000493,
small page fault        average:,0.000000504,
 mid write          kbest:,0.000005367,
 mid write        average:,0.000005513,
  mid read          kbest:,0.000002928,
  mid read        average:,0.000003408,
  mid mmap          kbest:,0.000000373,
  mid mmap        average:,0.000000393,
mid munmap          kbest:,0.000002531,
mid munmap        average:,0.000002614,
mid page fault          kbest:,0.000000687,
mid page fault        average:,0.000000705,
 big write          kbest:,0.000613138,
 big write        average:,0.000616402,
  big read          kbest:,0.000331311,
  big read        average:,0.000332835,
  big mmap          kbest:,0.000000304,
  big mmap        average:,0.000000317,
big munmap          kbest:,0.000107837,
big munmap        average:,0.000108690,
big page fault          kbest:,0.000000856,
big page fault        average:,0.000000892,
huge write          kbest:,0.013565208,
huge write        average:,0.013731743,
 huge read          kbest:,0.013235833,
 huge read        average:,0.013369701,
 huge mmap          kbest:,0.000000307,
 huge mmap        average:,0.000000317,
huge munmap          kbest:,0.001177281,
huge munmap        average:,0.001296547,
huge page fault          kbest:,0.000001346,
huge page fault        average:,0.000001380,
    select          kbest:,0.000000507,
    select        average:,0.000000567,
      poll          kbest:,0.000000369,
      poll        average:,0.000000403,
     epoll          kbest:,0.000000375,
     epoll        average:,0.000000455,
select big          kbest:,0.000047935,
select big        average:,0.000051758,
  poll big          kbest:,0.000048102,
  poll big        average:,0.000051550,
 epoll big          kbest:,0.000047800,
 epoll big        average:,0.000053733,
