OS Benchmark experiment
Test Name:,4.15.15-cwc-lebench-no-pti,
       ref          kbest:,0.000000021,
       ref        average:,0.000000024,
       cpu          kbest:,0.002481323,
       cpu        average:,0.002483061,
    getpid          kbest:,0.000000076,
    getpid        average:,0.000000079,
context siwtch          kbest:,0.000002250,
context siwtch        average:,0.000002733,
      send          kbest:,0.000000151,
      send        average:,0.000000348,
      recv          kbest:,0.000000226,
      recv        average:,0.000000252,
  big send          kbest:,0.000000266,
  big send        average:,0.000000686,
  big recv          kbest:,0.000000204,
  big recv        average:,0.000000565,
      fork          kbest:,0.000095172,
      fork       average:,0.000177279,
      fork    Child kbest:,0.000137810,
      fork Child average:,0.000242694,
thr create          kbest:,0.000009063,
thr create       average:,0.000017367,
thr create    Child kbest:,0.000012895,
thr create Child average:,0.000025145,
  big fork          kbest:,0.001515557,
  big fork       average:,0.002526903,
  big fork    Child kbest:,0.001627392,
  big fork Child average:,0.002626302,
 huge fork          kbest:,0.002632376,
 huge fork       average:,0.006014681,
 huge fork    Child kbest:,0.002676147,
 huge fork Child average:,0.006130952,
small write          kbest:,0.000000755,
small write        average:,0.000000826,
small read          kbest:,0.000000295,
small read        average:,0.000000309,
small mmap          kbest:,0.000000434,
small mmap        average:,0.000000454,
small munmap          kbest:,0.000000756,
small munmap        average:,0.000000776,
small page fault          kbest:,0.000000524,
small page fault        average:,0.000000533,
 mid write          kbest:,0.000005568,
 mid write        average:,0.000005707,
  mid read          kbest:,0.000002287,
  mid read        average:,0.000002426,
  mid mmap          kbest:,0.000000424,
  mid mmap        average:,0.000000439,
mid munmap          kbest:,0.000002703,
mid munmap        average:,0.000002815,
mid page fault          kbest:,0.000000974,
mid page fault        average:,0.000001015,
 big write          kbest:,0.000629653,
 big write        average:,0.000634479,
  big read          kbest:,0.000328166,
  big read        average:,0.000329641,
  big mmap          kbest:,0.000000419,
  big mmap        average:,0.000000444,
big munmap          kbest:,0.000100643,
big munmap        average:,0.000101652,
big page fault          kbest:,0.000001409,
big page fault        average:,0.000001450,
huge write          kbest:,0.013882452,
huge write        average:,0.014352813,
 huge read          kbest:,0.019718845,
 huge read        average:,0.020442597,
 huge mmap          kbest:,0.000000411,
 huge mmap        average:,0.000000438,
huge munmap          kbest:,0.001251257,
huge munmap        average:,0.001348557,
huge page fault          kbest:,0.000001422,
huge page fault        average:,0.000001484,
    select          kbest:,0.000000857,
    select        average:,0.000001200,
      poll          kbest:,0.000000757,
      poll        average:,0.000000830,
     epoll          kbest:,0.000000723,
     epoll        average:,0.000000811,
select big          kbest:,0.000097966,
select big        average:,0.000112635,
  poll big          kbest:,0.000097169,
  poll big        average:,0.000111537,
 epoll big          kbest:,0.000097181,
 epoll big        average:,0.000106977,
