OS Benchmark experiment
Test Name:,4.4.0-179-generic,
       ref          kbest:,0.000000026,
       ref        average:,0.000000035,
       cpu          kbest:,0.003149384,
       cpu        average:,0.003152564,
    getpid          kbest:,0.000000220,
    getpid        average:,0.000000256,
context siwtch          kbest:,0.000003848,
context siwtch        average:,0.000004382,
      send          kbest:,0.000000289,
      send        average:,0.000000741,
      recv          kbest:,0.000000411,
      recv        average:,0.000000566,
  big send          kbest:,0.000000434,
  big send        average:,0.000000862,
  big recv          kbest:,0.000000604,
  big recv        average:,0.000000945,
      fork          kbest:,0.000173001,
      fork       average:,0.000208476,
      fork    Child kbest:,0.000226846,
      fork Child average:,0.000303083,
thr create          kbest:,0.000006817,
thr create       average:,0.000010715,
thr create    Child kbest:,0.000010062,
thr create Child average:,0.000015077,
  big fork          kbest:,0.001364500,
  big fork       average:,0.003196897,
  big fork    Child kbest:,0.001442926,
  big fork Child average:,0.003325743,
 huge fork          kbest:,0.003126544,
 huge fork       average:,0.006397783,
 huge fork    Child kbest:,0.003219222,
 huge fork Child average:,0.006539829,
small write          kbest:,0.000000962,
small write        average:,0.000001157,
small read          kbest:,0.000000434,
small read        average:,0.000000665,
small mmap          kbest:,0.000000715,
small mmap        average:,0.000000985,
small munmap          kbest:,0.000000962,
small munmap        average:,0.000001323,
small page fault          kbest:,0.000000838,
small page fault        average:,0.000001074,
 mid write          kbest:,0.000005838,
 mid write        average:,0.000006320,
  mid read          kbest:,0.000002286,
  mid read        average:,0.000002389,
  mid mmap          kbest:,0.000000549,
  mid mmap        average:,0.000000562,
mid munmap          kbest:,0.000004252,
mid munmap        average:,0.000004338,
mid page fault          kbest:,0.000001375,
mid page fault        average:,0.000001452,
 big write          kbest:,0.000626256,
 big write        average:,0.000691006,
  big read          kbest:,0.000304157,
  big read        average:,0.000309844,
  big mmap          kbest:,0.000000742,
  big mmap        average:,0.000000876,
big munmap          kbest:,0.000103784,
big munmap        average:,0.000104766,
big page fault          kbest:,0.000001947,
big page fault        average:,0.000002169,
huge write          kbest:,0.014034961,
huge write        average:,0.014405269,
 huge read          kbest:,0.018369271,
 huge read        average:,0.018673265,
 huge mmap          kbest:,0.000000582,
 huge mmap        average:,0.000000605,
huge munmap          kbest:,0.001291208,
huge munmap        average:,0.001320549,
huge page fault          kbest:,0.000001935,
huge page fault        average:,0.000002184,
    select          kbest:,0.000000993,
    select        average:,0.000001079,
      poll          kbest:,0.000000895,
      poll        average:,0.000000979,
     epoll          kbest:,0.000000883,
     epoll        average:,0.000000942,
select big          kbest:,0.000073086,
select big        average:,0.000081473,
  poll big          kbest:,0.000068857,
  poll big        average:,0.000076396,
 epoll big          kbest:,0.000063536,
 epoll big        average:,0.000071766,
