OS Benchmark experiment
Test Name:,4.10.13-assign-fault-around-patch,
       ref          kbest:,0.000000020,
       ref        average:,0.000000024,
       cpu          kbest:,0.003000388,
       cpu        average:,0.003001614,
    getpid          kbest:,0.000000070,
    getpid        average:,0.000000072,
context siwtch          kbest:,0.000002477,
context siwtch        average:,0.000002742,
      send          kbest:,0.000000425,
      send        average:,0.000000975,
      recv          kbest:,0.000000434,
      recv        average:,0.000001289,
  big send          kbest:,0.000008893,
  big send        average:,0.000015633,
  big recv          kbest:,0.000014984,
  big recv        average:,0.000021665,
      fork          kbest:,0.000086282,
      fork       average:,0.000167029,
      fork    Child kbest:,0.000116014,
      fork Child average:,0.000220002,
thr create          kbest:,0.000008447,
thr create       average:,0.000015333,
thr create    Child kbest:,0.000011524,
thr create Child average:,0.000024477,
  big fork          kbest:,0.001052016,
  big fork       average:,0.002133691,
  big fork    Child kbest:,0.001073566,
  big fork Child average:,0.002244342,
 huge fork          kbest:,0.004079130,
 huge fork       average:,0.005720038,
 huge fork    Child kbest:,0.004230642,
 huge fork Child average:,0.005843233,
small write          kbest:,0.000000696,
small write        average:,0.000000730,
small read          kbest:,0.000000263,
small read        average:,0.000000301,
small mmap          kbest:,0.000000318,
small mmap        average:,0.000000325,
small munmap          kbest:,0.000000703,
small munmap        average:,0.000000794,
small page fault          kbest:,0.000000588,
small page fault        average:,0.000000607,
 mid write          kbest:,0.000005826,
 mid write        average:,0.000006067,
  mid read          kbest:,0.000002108,
  mid read        average:,0.000002439,
  mid mmap          kbest:,0.000000310,
  mid mmap        average:,0.000000333,
mid munmap          kbest:,0.000002806,
mid munmap        average:,0.000002899,
mid page fault          kbest:,0.000000570,
mid page fault        average:,0.000000581,
 big write          kbest:,0.000792709,
 big write        average:,0.000805791,
  big read          kbest:,0.000464363,
  big read        average:,0.000466757,
  big mmap          kbest:,0.000000310,
  big mmap        average:,0.000000332,
big munmap          kbest:,0.000113755,
big munmap        average:,0.000114932,
big page fault          kbest:,0.000000705,
big page fault        average:,0.000000746,
huge write          kbest:,0.013189195,
huge write        average:,0.013770574,
 huge read          kbest:,0.014154269,
 huge read        average:,0.014212491,
 huge mmap          kbest:,0.000000305,
 huge mmap        average:,0.000000311,
huge munmap          kbest:,0.001177151,
huge munmap        average:,0.001189607,
huge page fault          kbest:,0.000000697,
huge page fault        average:,0.000000719,
    select          kbest:,0.000000544,
    select        average:,0.000000621,
      poll          kbest:,0.000000501,
      poll        average:,0.000000563,
     epoll          kbest:,0.000000704,
     epoll        average:,0.000000802,
select big          kbest:,0.000108732,
select big        average:,0.000128381,
  poll big          kbest:,0.000107011,
  poll big        average:,0.000135674,
 epoll big          kbest:,0.000165240,
 epoll big        average:,0.000220705,
