OS Benchmark experiment
Test Name:,4.10.13-custom,
       ref          kbest:,0.000000020,
       ref        average:,0.000000024,
       cpu          kbest:,0.003000387,
       cpu        average:,0.003001494,
    getpid          kbest:,0.000000070,
    getpid        average:,0.000000072,
context siwtch          kbest:,0.000002408,
context siwtch        average:,0.000002588,
      send          kbest:,0.000000297,
      send        average:,0.000000972,
      recv          kbest:,0.000000446,
      recv        average:,0.000001315,
  big send          kbest:,0.000011029,
  big send        average:,0.000015581,
  big recv          kbest:,0.000012878,
  big recv        average:,0.000020949,
      fork          kbest:,0.000085931,
      fork       average:,0.000171766,
      fork    Child kbest:,0.000118419,
      fork Child average:,0.000235887,
thr create          kbest:,0.000009489,
thr create       average:,0.000016584,
thr create    Child kbest:,0.000013851,
thr create Child average:,0.000029085,
  big fork          kbest:,0.001022448,
  big fork       average:,0.002139120,
  big fork    Child kbest:,0.001057762,
  big fork Child average:,0.002263072,
 huge fork          kbest:,0.003977309,
 huge fork       average:,0.005738635,
 huge fork    Child kbest:,0.004090683,
 huge fork Child average:,0.005877401,
small write          kbest:,0.000000693,
small write        average:,0.000000722,
small read          kbest:,0.000000262,
small read        average:,0.000000314,
small mmap          kbest:,0.000000311,
small mmap        average:,0.000000321,
small munmap          kbest:,0.000000655,
small munmap        average:,0.000000736,
small page fault          kbest:,0.000000557,
small page fault        average:,0.000000640,
 mid write          kbest:,0.000005759,
 mid write        average:,0.000006028,
  mid read          kbest:,0.000001995,
  mid read        average:,0.000002404,
  mid mmap          kbest:,0.000000309,
  mid mmap        average:,0.000000341,
mid munmap          kbest:,0.000002688,
mid munmap        average:,0.000002763,
mid page fault          kbest:,0.000001027,
mid page fault        average:,0.000001042,
 big write          kbest:,0.000793521,
 big write        average:,0.000817704,
  big read          kbest:,0.000472624,
  big read        average:,0.000476126,
  big mmap          kbest:,0.000000310,
  big mmap        average:,0.000000316,
big munmap          kbest:,0.000114224,
big munmap        average:,0.000114934,
big page fault          kbest:,0.000001473,
big page fault        average:,0.000001515,
huge write          kbest:,0.013441085,
huge write        average:,0.017404056,
 huge read          kbest:,0.016477223,
 huge read        average:,0.016567169,
 huge mmap          kbest:,0.000000304,
 huge mmap        average:,0.000000329,
huge munmap          kbest:,0.001186759,
huge munmap        average:,0.001198760,
huge page fault          kbest:,0.000001478,
huge page fault        average:,0.000001517,
    select          kbest:,0.000000540,
    select        average:,0.000000577,
      poll          kbest:,0.000000520,
      poll        average:,0.000000601,
     epoll          kbest:,0.000000702,
     epoll        average:,0.000000851,
select big          kbest:,0.000100677,
select big        average:,0.000126899,
  poll big          kbest:,0.000110223,
  poll big        average:,0.000132107,
 epoll big          kbest:,0.000155898,
 epoll big        average:,0.000217994,
