OS Benchmark experiment
Test Name:,4.10.13-unset-slab-freelist-randomization,
       ref          kbest:,0.000000020,
       ref        average:,0.000000025,
       cpu          kbest:,0.003000388,
       cpu        average:,0.003002482,
    getpid          kbest:,0.000000070,
    getpid        average:,0.000000072,
context siwtch          kbest:,0.000002420,
context siwtch        average:,0.000002601,
      send          kbest:,0.000000294,
      send        average:,0.000000948,
      recv          kbest:,0.000000440,
      recv        average:,0.000001266,
  big send          kbest:,0.000008533,
  big send        average:,0.000015471,
  big recv          kbest:,0.000014858,
  big recv        average:,0.000021157,
      fork          kbest:,0.000084601,
      fork       average:,0.000165990,
      fork    Child kbest:,0.000117380,
      fork Child average:,0.000228069,
thr create          kbest:,0.000008022,
thr create       average:,0.000015766,
thr create    Child kbest:,0.000011040,
thr create Child average:,0.000027180,
  big fork          kbest:,0.001081273,
  big fork       average:,0.001735943,
  big fork    Child kbest:,0.001609206,
  big fork Child average:,0.001857944,
 huge fork          kbest:,0.003342819,
 huge fork       average:,0.003957129,
 huge fork    Child kbest:,0.003453534,
 huge fork Child average:,0.004101388,
small write          kbest:,0.000000728,
small write        average:,0.000000769,
small read          kbest:,0.000000267,
small read        average:,0.000000310,
small mmap          kbest:,0.000000310,
small mmap        average:,0.000000321,
small munmap          kbest:,0.000000711,
small munmap        average:,0.000000781,
small page fault          kbest:,0.000000559,
small page fault        average:,0.000000581,
 mid write          kbest:,0.000005455,
 mid write        average:,0.000005607,
  mid read          kbest:,0.000002565,
  mid read        average:,0.000003031,
  mid mmap          kbest:,0.000000303,
  mid mmap        average:,0.000000327,
mid munmap          kbest:,0.000002732,
mid munmap        average:,0.000002799,
mid page fault          kbest:,0.000001024,
mid page fault        average:,0.000001054,
 big write          kbest:,0.000790023,
 big write        average:,0.000795982,
  big read          kbest:,0.000465253,
  big read        average:,0.000468323,
  big mmap          kbest:,0.000000325,
  big mmap        average:,0.000000348,
big munmap          kbest:,0.000113905,
big munmap        average:,0.000116141,
big page fault          kbest:,0.000001469,
big page fault        average:,0.000001546,
huge write          kbest:,0.012939448,
huge write        average:,0.016724735,
 huge read          kbest:,0.013179989,
 huge read        average:,0.015700076,
 huge mmap          kbest:,0.000000316,
 huge mmap        average:,0.000000333,
huge munmap          kbest:,0.001171296,
huge munmap        average:,0.001185861,
huge page fault          kbest:,0.000001473,
huge page fault        average:,0.000001537,
    select          kbest:,0.000000542,
    select        average:,0.000000592,
      poll          kbest:,0.000000509,
      poll        average:,0.000000595,
     epoll          kbest:,0.000000696,
     epoll        average:,0.000000842,
select big          kbest:,0.000092599,
select big        average:,0.000107418,
  poll big          kbest:,0.000097803,
  poll big        average:,0.000117938,
 epoll big          kbest:,0.000144152,
 epoll big        average:,0.000166834,
